train_no,train_name,source_code,source_name,des_code,des_name
'12430',NDLS LKO AC SF ,NDLS,NEW DELHI      ,LKO ,LUCKNOW NR     
'12431',RAJDHANI EXP   ,TVC ,TRIVANDRUM CNTL,NZM ,H NIZAMUDDIN   
'12432',TRIVNDRM RJDHNI,NZM ,H NIZAMUDDIN   ,TVC ,TRIVANDRUM CNTL
'12433',RAJDHANI EXP   ,MAS ,CHENNAI CENTRAL,NZM ,H NIZAMUDDIN   
'12434',CHENNAI RAJDHNI,NZM ,H NIZAMUDDIN   ,MAS ,CHENNAI CENTRAL
'12435',DBRT RAJDHANI E,DBRT,DIBRUGARH TOWN ,NDLS,NEW DELHI      
'12436',NDLS DBRT RJDHN,NDLS,NEW DELHI      ,DBRT,DIBRUGARH TOWN 
'12437',RAJDHANI EXP   ,SC  ,SECUNDERABAD JN,NZM ,H NIZAMUDDIN   
'12438',NZM SC RJDHNI  ,NZM ,H NIZAMUDDIN   ,SC  ,SECUNDERABAD JN
'12439',RNC NDLS RAJ EX,RNC ,RANCHI         ,NDLS,NEW DELHI      
'12440',NDLS RNC RAJ EX,NDLS,NEW DELHI      ,RNC ,RANCHI         
'12441',BSP NDLS RAJ EX,BSP ,BILASPUR JN    ,NDLS,NEW DELHI      
'12442',BILASPUR RJDHNI,NDLS,NEW DELHI      ,BSP ,BILASPUR JN    
'12443',HLZ ANVT WKLY S,HLZ ,HALDIA         ,ANVT,ANAND VIHAR TRM
'12444',ANVT HLZ S F EX,ANVT,ANAND VIHAR TRM,HLZ ,HALDIA         
'12445',UTTAR S KRANTI ,NDLS,NEW DELHI      ,UHP ,UDHAMPUR       
'12446',UTTAR S KRANTI ,UHP ,UDHAMPUR       ,NDLS,NEW DELHI      
'12447',U P SMPRK KRNTI,MKP ,MANIKPUR JN    ,NZM ,H NIZAMUDDIN   
'12448',U P SMPRK KRNTI,NZM ,H NIZAMUDDIN   ,MKP ,MANIKPUR JN    
'12449',GOA SMPRK K EXP,MAO ,MADGAON        ,CDG ,CHANDIGARH     
'12450',GOA SMPRK K EXP,CDG ,CHANDIGARH     ,MAO ,MADGAON        
'12451',SHRAM SHKTI EXP,CNB ,KANPUR CENTRAL ,NDLS,NEW DELHI      
'12452',SHRAM SHKTI EXP,NDLS,NEW DELHI      ,CNB ,KANPUR CENTRAL 
'12453',RNC NDLS RAJ EX,RNC ,RANCHI         ,NDLS,NEW DELHI      
'12454',NDLS RNC RJDHNI,NDLS,NEW DELHI      ,RNC ,RANCHI         
'12455',DEE BKN SF EXP ,DEE ,DELHI S ROHILLA,BKN ,BIKANER JN     
'12456',BKN DEE SF EXP ,BKN ,BIKANER JN     ,DEE ,DELHI S ROHILLA
'12457',DEE BKN  S F EX,DEE ,DELHI S ROHILLA,BKN ,BIKANER JN     
'12458',BKN DEE S F EXP,BKN ,BIKANER JN     ,DEE ,DELHI S ROHILLA
'12459',NDLSASR EXPRESS,NDLS,NEW DELHI      ,ASR ,AMRITSAR JN    
'12460',ASR NDLS EXP   ,ASR ,AMRITSAR JN    ,NDLS,NEW DELHI      
'12461',MANDOR EXPRESS ,DLI ,DELHI          ,JU  ,JODHPUR JN     
'12462',MANDOR EXPRESS ,JU  ,JODHPUR JN     ,DLI ,DELHI          
'12463',RAJSTHN S KRANT,DEE ,DELHI S ROHILLA,JU  ,JODHPUR JN     
'12464',RJSTHN S KRNTI ,JU  ,JODHPUR JN     ,DEE ,DELHI S ROHILLA
'12465',RANTHAMBORE EXP,INDB,INDORE JN BG   ,JU  ,JODHPUR JN     
'12466',INTERCITY EXP  ,JU  ,JODHPUR JN     ,INDB,INDORE JN BG   
'12467',LEELAN EXP     ,BKN ,BIKANER JN     ,JP  ,JAIPUR         
'12468',LEELAN EXP     ,JP  ,JAIPUR         ,BKN ,BIKANER JN     
'12469',CNB JAT EXPRESS,CNB ,KANPUR CENTRAL ,JAT ,JAMMU TAWI     
'12470',JAT CNB EXPRESS,JAT ,JAMMU TAWI     ,CNB ,KANPUR CENTRAL 
'12471',SWARAJ EXPRESS ,BDTS,BANDRA TERMINUS,JAT ,JAMMU TAWI     
'12472',SWARAJ EXPRESS ,JAT ,JAMMU TAWI     ,BDTS,BANDRA TERMINUS
'12473',SARVODAYA EXP  ,ADI ,AHMEDABAD JN   ,JAT ,JAMMU TAWI     
'12474',SARVODAYA EXP  ,JAT ,JAMMU TAWI     ,ADI ,AHMEDABAD JN   
'12475',HAPA JAT EXPRES,HAPA,HAPA           ,JAT ,JAMMU TAWI     
'12476',JAT HAPA EXP   ,JAT ,JAMMU TAWI     ,HAPA,HAPA           
'12477',JAM JAT EXPRESS,JAM ,JAMNAGAR       ,JAT ,JAMMU TAWI     
'12478',JAT JAMNAGR EXP,JAT ,JAMMU TAWI     ,JAM ,JAMNAGAR       
'12479',SURYA NAGRI EXP,JU  ,JODHPUR JN     ,BDTS,BANDRA TERMINUS
'12480',SURYANAGARI EXP,BDTS,BANDRA TERMINUS,JU  ,JODHPUR JN     
'12481',INTERCITY EXP  ,DLI ,DELHI          ,SGNR,SHRI GANGANAGAR
'12482',INTERCITY EXP  ,SGNR,SHRI GANGANAGAR,DLI ,DELHI          
'12483',AMRITSAR EXP   ,KCVL,KOCHUVELI      ,ASR ,AMRITSAR JN    
'12484',ASR KCVL EXPRES,ASR ,AMRITSAR JN    ,KCVL,KOCHUVELI      
'12485',NED SGNR EXPRES,NED ,H SAHIB NANDED ,SGNR,SHRI GANGANAGAR
'12486',SGNR NED EXPRES,SGNR,SHRI GANGANAGAR,NED ,H SAHIB NANDED 
'12487',SEEMANCHAL EXP ,JBN ,JOGBANI        ,ANVT,ANAND VIHAR TRM
'12488',SEEMANCHAL EXP ,ANVT,ANAND VIHAR TRM,JBN ,JOGBANI        
'12489',BKN DDR SF EXP ,BKN ,BIKANER JN     ,DDR ,DADAR          
'12490',DDR BIKANER EXP,DDR ,DADAR          ,BKN ,BIKANER JN     
'12491',MOUR DHWAJ EXP ,MFP ,MUZAFFARPUR JN ,JAT ,JAMMU TAWI     
'12492',MAUR DHAWAJ EXP,JAT ,JAMMU TAWI     ,MFP ,MUZAFFARPUR JN 
'12495',BKN KOAA SUP EX,BKN ,BIKANER JN     ,KOAA,KOLKATA        
'12496',PRATAP EXPRESS ,KOAA,KOLKATA        ,BKN ,BIKANER JN     
'12497',SHANE PUNJAB   ,NDLS,NEW DELHI      ,ASR ,AMRITSAR JN    
'12498',SHANE PUNJAB   ,ASR ,AMRITSAR JN    ,NDLS,NEW DELHI      
'12501',PORVOTR S KRNTI,GHY ,GUWAHATI       ,NDLS,NEW DELHI      
'12502',PORVOTR S KRNTI,NDLS,NEW DELHI      ,GHY ,GUWAHATI       
'12505',NORTH EAST EXP ,GHY ,GUWAHATI       ,ANVT,ANAND VIHAR TRM
'12506',NORTH EAST EXP ,ANVT,ANAND VIHAR TRM,GHY ,GUWAHATI       
'12507',GUWAHATI EXP   ,TVC ,TRIVANDRUM CNTL,GHY ,GUWAHATI       
'12508',GHY TVC EXPRESS,GHY ,GUWAHATI       ,TVC ,TRIVANDRUM CNTL
'12509',GUWAHATI EXP   ,SBC ,BANGALORE CY JN,GHY ,GUWAHATI       
'12510',GHY SBC EXPRESS,GHY ,GUWAHATI       ,SBC ,BANGALORE CY JN
'12511',RAPTI SAGAR EXP,GKP ,GORAKHPUR JN   ,TVC ,TRIVANDRUM CNTL
'12512',RAPTISAGAR EXP ,TVC ,TRIVANDRUM CNTL,GKP ,GORAKHPUR JN   
'12513',SC GHY EXP     ,SC  ,SECUNDERABAD JN,GHY ,GUWAHATI       
'12514',GHY SC EXPRESS ,GHY ,GUWAHATI       ,SC  ,SECUNDERABAD JN
'12515',GUWAHATI EXP   ,TVC ,TRIVANDRUM CNTL,GHY ,GUWAHATI       
'12516',GHY TVC EXPRESS,GHY ,GUWAHATI       ,TVC ,TRIVANDRUM CNTL
'12517',GHY GARIB RATH ,KOAA,KOLKATA        ,GHY ,GUWAHATI       
'12518',KOL GARIB RATH ,GHY ,GUWAHATI       ,KOAA,KOLKATA        
'12519',LTT KYQ AC EXP ,LTT ,LOKMANYATILAK T,KYQ ,KAMAKHYA       
'12520',KYQ LTT AC EXP ,KYQ ,KAMAKHYA       ,LTT ,LOKMANYATILAK T
'12521',RAPTI SAGAR EXP,BJU ,BARAUNI JN     ,ERS ,ERNAKULAM JN   
'12522',RAPTISAGAR EXP ,ERS ,ERNAKULAM JN   ,BJU ,BARAUNI JN     
'12523',NJP NDLS EXPRES,NJP ,NEW JALPAIGURI ,NDLS,NEW DELHI      
'12524',NDLS NJP SF EXP,NDLS,NEW DELHI      ,NJP ,NEW JALPAIGURI 
'12525',KOAA DBRG EXP  ,KOAA,KOLKATA        ,DBRG,DIBRUGARH      
'12526',DBRG KOAA EXP  ,DBRG,DIBRUGARH      ,KOAA,KOLKATA        
'12531',LJN INTERCITY  ,GKP ,GORAKHPUR JN   ,LJN ,LUCKNOW NE     
'12532',GKP INTERCITY  ,LJN ,LUCKNOW NE     ,GKP ,GORAKHPUR JN   
'12533',PUSHPAK EXP    ,LJN ,LUCKNOW NE     ,CSTM,MUMBAI CST     
'12534',PUSHPAK EXPRESS,CSTM,MUMBAI CST     ,LJN ,LUCKNOW NE     
'12535',LJN R GARIBRATH,LJN ,LUCKNOW NE     ,R   ,RAIPUR JN      
'12536',LJN GARIBRATH  ,R   ,RAIPUR JN      ,LJN ,LUCKNOW NE     
'12537',MANDUADIH EXP  ,MFP ,MUZAFFARPUR JN ,MUV ,MANDUADIH      
'12538',MUV MFP EXPRESS,MUV ,MANDUADIH      ,MFP ,MUZAFFARPUR JN 
'12539',YPR LUCKNOW EXP,YPR ,YESVANTPUR JN  ,LKO ,LUCKNOW NR     
'12540',LKO YPR SUP EXP,LKO ,LUCKNOW NR     ,YPR ,YESVANTPUR JN  
'12541',GKP LTT SUP EXP,GKP ,GORAKHPUR JN   ,LTT ,LOKMANYATILAK T
'12542',LTT GKP SUP EXP,LTT ,LOKMANYATILAK T,GKP ,GORAKHPUR JN   
'12543',TIRUPATHI EXP  ,YPR ,YESVANTPUR JN  ,TPTY,TIRUPATI       
'12547',AF ADI SF EXP  ,AF  ,AGRA FORT      ,ADI ,AHMEDABAD JN   
'12548',AGRA SUPER FAST,ADI ,AHMEDABAD JN   ,AF  ,AGRA FORT      
'12549',DURG JAT SF EXP,DURG,DURG           ,JAT ,JAMMU TAWI     
'12550',JAT DURG SF EXP,JAT ,JAMMU TAWI     ,DURG,DURG           
'12551',YPRKYQ AC EXP  ,YPR ,YESVANTPUR JN  ,KYQ ,KAMAKHYA       
'12552',KYQ YPR AC EXP ,KYQ ,KAMAKHYA       ,YPR ,YESVANTPUR JN  
'12553',VAISHALI EXP   ,BJU ,BARAUNI JN     ,NDLS,NEW DELHI      
'12554',VAISHALI EXP   ,NDLS,NEW DELHI      ,BJU ,BARAUNI JN     
'12555',GORAKDAM EXPRES,GKP ,GORAKHPUR JN   ,HSR ,HISAR          
'12556',GORAKDAM EXPRES,HSR ,HISAR          ,GKP ,GORAKHPUR JN   
'12557',SAPT KRANTI EXP,MFP ,MUZAFFARPUR JN ,ANVT,ANAND VIHAR TRM
'12558',SAPT KRANTI EXP,ANVT,ANAND VIHAR TRM,MFP ,MUZAFFARPUR JN 
'12559',SHIV GANGA EXP ,MUV ,MANDUADIH      ,NDLS,NEW DELHI      
'12560',SHIV GANGA EXP ,NDLS,NEW DELHI      ,MUV ,MANDUADIH      
'12561',SWATANTRA S EXP,DBG ,DARBHANGA JN   ,NDLS,NEW DELHI      
'12562',SWATANTRTA S EX,NDLS,NEW DELHI      ,DBG ,DARBHANGA JN   
'12565',BIHAR S KRANTI ,DBG ,DARBHANGA JN   ,NDLS,NEW DELHI      
'12566',BIHAR S KRANTI ,NDLS,NEW DELHI      ,DBG ,DARBHANGA JN   
'12567',RAJYA RANI EXP ,SHC ,SAHARSA JN     ,PNBE,PATNA JN       
'12568',RAJYA RANI EXP ,PNBE,PATNA JN       ,SHC ,SAHARSA JN     
'12569',JYG ANVT G RATH,JYG ,JAYNAGAR       ,ANVT,ANAND VIHAR TRM
'12570',JYG GARIB RATH ,ANVT,ANAND VIHAR TRM,JYG ,JAYNAGAR       
'12577',BAGMATI EXPRESS,DBG ,DARBHANGA JN   ,MYS ,MYSORE JN      
'12578',BAGMATI EXPRESS,MYS ,MYSORE JN      ,DBG ,DARBHANGA JN   
'12581',MUV NDLS S F EX,MUV ,MANDUADIH      ,NDLS,NEW DELHI      
'12582',NDLS MUV SF EXP,NDLS,NEW DELHI      ,MUV ,MANDUADIH      
'12583',ANVT DOUBLE DKR,LJN ,LUCKNOW NE     ,ANVT,ANAND VIHAR TRM
'12584',LJN DOUBLE DKR ,ANVT,ANAND VIHAR TRM,LJN ,LUCKNOW NE     
'12587',AMAR NATH EXP  ,GKP ,GORAKHPUR JN   ,JAT ,JAMMU TAWI     
'12588',JAMMU GKP EXP  ,JAT ,JAMMU TAWI     ,GKP ,GORAKHPUR JN   
'12589',GKP SC EXPRESS ,GKP ,GORAKHPUR JN   ,SC  ,SECUNDERABAD JN
'12590',GORAKHPUR EXP  ,SC  ,SECUNDERABAD JN,GKP ,GORAKHPUR JN   
'12591',GKP YPR EXPRESS,GKP ,GORAKHPUR JN   ,YPR ,YESVANTPUR JN  
'12592',GORAKHPUR EXP  ,YPR ,YESVANTPUR JN  ,GKP ,GORAKHPUR JN   
'12593',LJN BPL G R    ,LJN ,LUCKNOW NE     ,BPL ,BHOPAL  JN     
'12594',LJN GARIB RATH ,BPL ,BHOPAL  JN     ,LJN ,LUCKNOW NE     
'12601',MANGALORE MAIL ,MAS ,CHENNAI CENTRAL,MAQ ,MANGALORE CNTL 
'12602',CHENNAI MAIL   ,MAQ ,MANGALORE CNTL ,MAS ,CHENNAI CENTRAL
'12603',HYDERABAD EXP  ,MAS ,CHENNAI CENTRAL,HYB ,HYDERABAD DECAN
'12604',CHENNAI EXP    ,HYB ,HYDERABAD DECAN,MAS ,CHENNAI CENTRAL
'12605',PALLAVAN EXP   ,MS  ,CHENNAI EGMORE ,KKDI,KARAIKKUDI JN  
'12606',PALLAVAN EXP   ,KKDI,KARAIKKUDI JN  ,MS  ,CHENNAI EGMORE 
'12607',LALBAGH EXPRESS,MAS ,CHENNAI CENTRAL,SBC ,BANGALORE CY JN
'12608',LALBAGH EXP    ,SBC ,BANGALORE CY JN,MAS ,CHENNAI CENTRAL
'12609',BANGALORE EXP  ,MAS ,CHENNAI CENTRAL,SBC ,BANGALORE CY JN
'12610',CHENNAI EXPRESS,SBC ,BANGALORE CY JN,MAS ,CHENNAI CENTRAL
'12611',NZM GARIB RATH ,MAS ,CHENNAI CENTRAL,NZM ,H NIZAMUDDIN   
'12612',MAS GARIB RATH ,NZM ,H NIZAMUDDIN   ,MAS ,CHENNAI CENTRAL
'12613',TIPPU EXPRESS  ,MYS ,MYSORE JN      ,SBC ,BANGALORE CY JN
'12614',TIPPU EXPRESS  ,SBC ,BANGALORE CY JN,MYS ,MYSORE JN      
'12615',GRAND TRUNK EXP,MAS ,CHENNAI CENTRAL,NDLS,NEW DELHI      
'12616',G T EXPRESS    ,NDLS,NEW DELHI      ,MAS ,CHENNAI CENTRAL
'12617',MANGALA LDWEEP ,ERS ,ERNAKULAM JN   ,NZM ,H NIZAMUDDIN   
'12618',MNGLA LKSDP EXP,NZM ,H NIZAMUDDIN   ,ERS ,ERNAKULAM JN   
'12619',MATSYAGANDHA EX,LTT ,LOKMANYATILAK T,MAQ ,MANGALORE CNTL 
'12620',MATSYAGANDA EXP,MAQ ,MANGALORE CNTL ,LTT ,LOKMANYATILAK T
'12621',TAMIL NADU EXP ,MAS ,CHENNAI CENTRAL,NDLS,NEW DELHI      
'12622',TAMIL NADU EXP ,NDLS,NEW DELHI      ,MAS ,CHENNAI CENTRAL
'12623',TRIVANDRUM MAIL,MAS ,CHENNAI CENTRAL,TVC ,TRIVANDRUM CNTL
'12624',CHENNAI MAIL   ,TVC ,TRIVANDRUM CNTL,MAS ,CHENNAI CENTRAL
'12625',KERALA EXPRESS ,TVC ,TRIVANDRUM CNTL,NDLS,NEW DELHI      
'12626',KERALA EXPRESS ,NDLS,NEW DELHI      ,TVC ,TRIVANDRUM CNTL
'12627',KARNATAKA EXP  ,SBC ,BANGALORE CY JN,NDLS,NEW DELHI      
'12628',KARNATAKA EXP  ,NDLS,NEW DELHI      ,SBC ,BANGALORE CY JN
'12629',SAMPARK KRANTI ,YPR ,YESVANTPUR JN  ,NZM ,H NIZAMUDDIN   
'12630',YPR S KRNTI EXP,NZM ,H NIZAMUDDIN   ,YPR ,YESVANTPUR JN  
'12631',NELLAI EXPRESS ,MS  ,CHENNAI EGMORE ,TEN ,TIRUNELVELI    
'12632',NELLAI EXPRESS ,TEN ,TIRUNELVELI    ,MS  ,CHENNAI EGMORE 
'12633',KANYAKUMARI EXP,MS  ,CHENNAI EGMORE ,CAPE,KANYAKUMARI    
'12634',KANYAKUMARI EXP,CAPE,KANYAKUMARI    ,MS  ,CHENNAI EGMORE 
'12635',VAIGAI EXP     ,MS  ,CHENNAI EGMORE ,MDU ,MADURAI JN     
'12636',VAIGAI EXP     ,MDU ,MADURAI JN     ,MS  ,CHENNAI EGMORE 
'12637',PANDIAN EXP    ,MS  ,CHENNAI EGMORE ,MDU ,MADURAI JN     
'12638',PANDIAN EXP    ,MDU ,MADURAI JN     ,MS  ,CHENNAI EGMORE 
'12639',BRINDAVAN EXP  ,MAS ,CHENNAI CENTRAL,SBC ,BANGALORE CY JN
'12640',BRINDAVAN EXP  ,SBC ,BANGALORE CY JN,MAS ,CHENNAI CENTRAL
'12641',TIRUKKURAL EXP ,CAPE,KANYAKUMARI    ,NZM ,H NIZAMUDDIN   
'12642',THIRUKKURAL EXP,NZM ,H NIZAMUDDIN   ,CAPE,KANYAKUMARI    
'12643',NIZAMUDDIN EXP ,TVC ,TRIVANDRUM CNTL,NZM ,H NIZAMUDDIN   
'12644',SWARNA JAYANTI ,NZM ,H NIZAMUDDIN   ,TVC ,TRIVANDRUM CNTL
'12645',NIZAMUDDIN EXP ,ERS ,ERNAKULAM JN   ,NZM ,H NIZAMUDDIN   
'12646',ERS MILLENUM EX,NZM ,H NIZAMUDDIN   ,ERS ,ERNAKULAM JN   
'12647',KONGU EXPRESS  ,CBE ,COIMBATORE JN  ,NZM ,H NIZAMUDDIN   
'12648',KONGU EXPRESS  ,NZM ,H NIZAMUDDIN   ,CBE ,COIMBATORE JN  
'12649',SAMPARK KRANTI ,YPR ,YESVANTPUR JN  ,NZM ,H NIZAMUDDIN   
'12650',KTK SMPRK K EXP,NZM ,H NIZAMUDDIN   ,YPR ,YESVANTPUR JN  
'12651',SAMPARK KRANTI ,MDU ,MADURAI JN     ,NZM ,H NIZAMUDDIN   
'12652',T N SMPRK KRNTI,NZM ,H NIZAMUDDIN   ,MDU ,MADURAI JN     
'12655',NAVJEEVAN EXP  ,ADI ,AHMEDABAD JN   ,MAS ,CHENNAI CENTRAL
'12656',NAVAJIVAN EXP  ,MAS ,CHENNAI CENTRAL,ADI ,AHMEDABAD JN   
'12657',BANGALORE MAIL ,MAS ,CHENNAI CENTRAL,SBC ,BANGALORE CY JN
'12658',CHENNAI MAIL   ,SBC ,BANGALORE CY JN,MAS ,CHENNAI CENTRAL
'12659',GURUDEV EXPRESS,NCJ ,NAGERCOIL JN   ,SHM ,SHALIMAR       
'12660',GURUDEV EXPRESS,SHM ,SHALIMAR       ,NCJ ,NAGERCOIL JN   
'12661',POTHIGAI  EXP  ,MS  ,CHENNAI EGMORE ,SCT ,SENGOTTAI      
'12662',POTHIGAI   EXP ,SCT ,SENGOTTAI      ,MS  ,CHENNAI EGMORE 
'12663',HWH TPJ EXPRESS,HWH ,HOWRAH JN      ,TPJ ,TIRUCHCHIRAPALI
'12664',HOWRAH EXPRESS ,TPJ ,TIRUCHCHIRAPALI,HWH ,HOWRAH JN      
'12665',KANNYAKUMARI EX,HWH ,HOWRAH JN      ,CAPE,KANYAKUMARI    
'12666',CAPE HOWRAH EXP,CAPE,KANYAKUMARI    ,HWH ,HOWRAH JN      
'12667',NAGERCOIL EXP  ,MS  ,CHENNAI EGMORE ,NCJ ,NAGERCOIL JN   
'12668',CHENNAI EXP    ,NCJ ,NAGERCOIL JN   ,MS  ,CHENNAI EGMORE 
'12669',GANGAKAVERI EXP,MAS ,CHENNAI CENTRAL,CPR ,CHHAPRA        
'12670',GANGAKAVERI EXP,CPR ,CHHAPRA        ,MAS ,CHENNAI CENTRAL
'12671',NILAGIRI EXP   ,MAS ,CHENNAI CENTRAL,MTP ,METUPALAIYAM   
'12672',NILAGIRI EXP   ,MTP ,METUPALAIYAM   ,MAS ,CHENNAI CENTRAL
'12673',CHERAN EXPRESS ,MAS ,CHENNAI CENTRAL,CBE ,COIMBATORE JN  
'12674',CHERAN EXPRESS ,CBE ,COIMBATORE JN  ,MAS ,CHENNAI CENTRAL
'12675',KOVAI EXPRESS  ,MAS ,CHENNAI CENTRAL,CBE ,COIMBATORE JN  
'12676',KOVAI EXP      ,CBE ,COIMBATORE JN  ,MAS ,CHENNAI CENTRAL
'12677',ERNAKULAM EXP  ,SBC ,BANGALORE CY JN,ERS ,ERNAKULAM JN   
'12678',BANGALORE EXP  ,ERS ,ERNAKULAM JN   ,SBC ,BANGALORE CY JN
'12679',COIMBATORE EXP ,MAS ,CHENNAI CENTRAL,CBE ,COIMBATORE JN  
'12680',CHENNAI EXPRESS,CBE ,COIMBATORE JN  ,MAS ,CHENNAI CENTRAL
'12681',COIMBATORE EXP ,MAS ,CHENNAI CENTRAL,CBE ,COIMBATORE JN  
'12682',CHENNAI EXP    ,CBE ,COIMBATORE JN  ,MAS ,CHENNAI CENTRAL
'12683',BANGALORE SF EX,ERS ,ERNAKULAM JN   ,SBC ,BANGALORE CY JN
'12684',ERNAKULAM SF EX,SBC ,BANGALORE CY JN,ERS ,ERNAKULAM JN   
'12685',MANGALORE EXP  ,MAS ,CHENNAI CENTRAL,MAQ ,MANGALORE CNTL 
'12686',CHENNAI EXP    ,MAQ ,MANGALORE CNTL ,MAS ,CHENNAI CENTRAL
'12687',DEHRADUN EXP   ,MDU ,MADURAI JN     ,DDN ,DEHRADUN       
'12688',DDN MDU SF EXP ,DDN ,DEHRADUN       ,MDU ,MADURAI JN     
'12689',NAGERCOIL EXP  ,MAS ,CHENNAI CENTRAL,NCJ ,NAGERCOIL JN   
'12690',NCJ CHENNAI EXP,NCJ ,NAGERCOIL JN   ,MAS ,CHENNAI CENTRAL
'12691',SSPN EXPRESS   ,MAS ,CHENNAI CENTRAL,SSPN,SAI P NILAYAM  
'12692',CHENNAI EXPRESS,SSPN,SAI P NILAYAM  ,MAS ,CHENNAI CENTRAL
'12693',PEARL CITY EXP ,MS  ,CHENNAI EGMORE ,TN  ,TUTICORIN      
'12694',PEARL CITY EXP ,TN  ,TUTICORIN      ,MS  ,CHENNAI EGMORE 
'12695',TRIVANDRUM EXP ,MAS ,CHENNAI CENTRAL,TVC ,TRIVANDRUM CNTL
'12696',TVC CHENNAI EXP,TVC ,TRIVANDRUM CNTL,MAS ,CHENNAI CENTRAL
'12697',TRIVANDRUM EXP ,MAS ,CHENNAI CENTRAL,TVC ,TRIVANDRUM CNTL
'12698',TVC CHENNAI EXP,TVC ,TRIVANDRUM CNTL,MAS ,CHENNAI CENTRAL
'12701',HUSAINSAGAR EXP,CSTM,MUMBAI CST     ,HYB ,HYDERABAD DECAN
'12702',HUSSAINSAGAR EX,HYB ,HYDERABAD DECAN,CSTM,MUMBAI CST     
'12703',FALAKNUMA EXP  ,HWH ,HOWRAH JN      ,SC  ,SECUNDERABAD JN
'12704',FALAKNUMA EXP  ,SC  ,SECUNDERABAD JN,HWH ,HOWRAH JN      
'12705',GNT SC EXP     ,GNT ,GUNTUR JN      ,SC  ,SECUNDERABAD JN
'12706',SC GNT EXP     ,SC  ,SECUNDERABAD JN,GNT ,GUNTUR JN      
'12707',A P SMPRK KRNTI,TPTY,TIRUPATI       ,NZM ,H NIZAMUDDIN   
'12708',AP SMPRK KRANTI,NZM ,H NIZAMUDDIN   ,TPTY,TIRUPATI       
'12709',SIMHAPURI EXP  ,GDR ,GUDUR JN       ,SC  ,SECUNDERABAD JN
'12710',SIMHAPURI EXP  ,SC  ,SECUNDERABAD JN,GDR ,GUDUR JN       
'12711',PINAKINI EXP   ,BZA ,VIJAYAWADA JN  ,MAS ,CHENNAI CENTRAL
'12712',PINAKINI EXP   ,MAS ,CHENNAI CENTRAL,BZA ,VIJAYAWADA JN  
'12713',SATAVAHANA EXP ,BZA ,VIJAYAWADA JN  ,SC  ,SECUNDERABAD JN
'12714',SATAVAHANA EXP ,SC  ,SECUNDERABAD JN,BZA ,VIJAYAWADA JN  
'12715',SACHKHAND EXP  ,NED ,H SAHIB NANDED ,ASR ,AMRITSAR JN    
'12716',ASR NED EXPRESS,ASR ,AMRITSAR JN    ,NED ,H SAHIB NANDED 
'12717',RATNACHALAM EXP,VSKP,VISAKHAPATNAM  ,BZA ,VIJAYAWADA JN  
'12718',RATNACHAL EXP  ,BZA ,VIJAYAWADA JN  ,VSKP,VISAKHAPATNAM  
'12719',AII HYB SF EXP ,AII ,AJMER JN       ,HYB ,HYDERABAD DECAN
'12720',HYB AII SUP EXP,HYB ,HYDERABAD DECAN,AII ,AJMER JN       
'12721',NIZAMUDDIN EXP ,HYB ,HYDERABAD DECAN,NZM ,H NIZAMUDDIN   
'12722',DAKSHIN EXPRESS,NZM ,H NIZAMUDDIN   ,HYB ,HYDERABAD DECAN
'12723',A P EXP        ,HYB ,HYDERABAD DECAN,NDLS,NEW DELHI      
'12724',A P EXPRESS    ,NDLS,NEW DELHI      ,HYB ,HYDERABAD DECAN
'12725',INTERCITY EXP  ,SBC ,BANGALORE CY JN,DWR ,DHARWAR        
'12726',INTERCITY EXP  ,DWR ,DHARWAR        ,SBC ,BANGALORE CY JN
'12727',GODAVARI EXP   ,VSKP,VISAKHAPATNAM  ,HYB ,HYDERABAD DECAN
'12728',GODAVARI EXP   ,HYB ,HYDERABAD DECAN,VSKP,VISAKHAPATNAM  
'12729',PUNE NANDED EXP,PUNE,PUNE JN        ,NED ,H SAHIB NANDED 
'12730',PUNE EXPRESS   ,NED ,H SAHIB NANDED ,PUNE,PUNE JN        
'12731',TPTY SC EXP    ,TPTY,TIRUPATI       ,SC  ,SECUNDERABAD JN
'12732',SC TPTY SUP EXP,SC  ,SECUNDERABAD JN,TPTY,TIRUPATI       
'12733',NARAYANADRI EXP,TPTY,TIRUPATI       ,SC  ,SECUNDERABAD JN
'12734',NARAYANADRI EXP,SC  ,SECUNDERABAD JN,TPTY,TIRUPATI       
'12735',YPR GARIB RATH ,SC  ,SECUNDERABAD JN,YPR ,YESVANTPUR JN  
'12736',SC GARIB RATH  ,YPR ,YESVANTPUR JN  ,SC  ,SECUNDERABAD JN
'12737',GOUTAMI EXP    ,COA ,KAKINADA PORT  ,SC  ,SECUNDERABAD JN
'12738',GOUTAMI EXP    ,SC  ,SECUNDERABAD JN,COA ,KAKINADA PORT  
'12739',VSKP GARIB RATH,VSKP,VISAKHAPATNAM  ,SC  ,SECUNDERABAD JN
'12740',VSKP GARIB RATH,SC  ,SECUNDERABAD JN,VSKP,VISAKHAPATNAM  
'12741',VSG PATNA EXP  ,VSG ,VASCO DA GAMA  ,PNBE,PATNA JN       
'12742',PNBE VSG EXPRES,PNBE,PATNA JN       ,VSG ,VASCO DA GAMA  
'12747',PALNADU EXP    ,GNT ,GUNTUR JN      ,VKB ,VIKARABAD JN   
'12748',PALNADU EXP    ,VKB ,VIKARABAD JN   ,GNT ,GUNTUR JN      
